,STATEFP,COUNTYFP,TRACTCE,AFFGEOID,GEOID,NAME_x,LSAD,ALAND,AWATER,NAME_y,c_race,c_white,c_black,c_asian,c_latinx,state_fips,county_fips,tract_fips,med_rent,med_hhinc,c_tenants,c_owners,c_renters,c_movers,c_stay,c_movelocal,c_movecounty,c_movestate,c_moveabroad,c_commute,c_car,c_carpool,c_transit,c_bike,c_walk,year,FIPS_11_digit,p_white,p_black,p_asian,p_latinx,p_owners,p_renters,p_stay,p_movelocal,p_movecounty,p_movestate,p_moveabroad,p_car,p_carpool,p_transit,p_bike,p_walk,pop_dens_km2,pop_dens_mi2
22,06,001,407600,1400000US06001407600,06001407600,4076,CT,1022712,0,"Census Tract 4076, Alameda County, California",6606,859,2755,639,2027,6,1,407600,1398.0,65066.0,2200,1134,1066,6472,5802,458,212,0,0,2885,2005,277,361,0,0,2018,06001407600,0.1300333030578262,0.41704511050560095,0.09673024523160764,0.3068422646079322,0.5154545454545455,0.4845454545454546,0.896477132262052,0.0707663782447466,0.032756489493201486,0.0,0.0,0.6949740034662045,0.09601386481802426,0.12512998266897746,0.0,0.0,6459.296458827118,16729.50031680473
23,06,001,409300,1400000US06001409300,06001409300,4093,CT,1076278,0,"Census Tract 4093, Alameda County, California",5433,323,1445,125,3427,6,1,409300,1380.0,45625.0,1647,639,1008,5363,4515,728,32,8,80,2283,1342,379,240,23,19,2018,06001409300,0.059451500092030186,0.2659672372538193,0.023007546475243883,0.6307748941652862,0.3879781420765027,0.6120218579234973,0.8418795450307663,0.1357449188886817,0.005966809621480515,0.0014917024053701287,0.014917024053701287,0.5878230398598335,0.1660096364432764,0.10512483574244416,0.010074463425317565,0.008322382829610163,5047.9522948531885,13074.135868242221
24,06,001,420500,1400000US06001420500,06001420500,4205,CT,416291,0,"Census Tract 4205, Alameda County, California",2537,1291,114,538,226,6,1,420500,1846.0,94395.0,977,449,528,2491,2276,98,83,28,6,1206,565,84,257,84,65,2018,06001420500,0.5088687426093812,0.04493496255419787,0.2120614899487584,0.0890815924320063,0.4595701125895599,0.5404298874104401,0.9136892814130873,0.039341629867523084,0.03331995182657567,0.011240465676435166,0.0024086712163789645,0.4684908789386401,0.06965174129353234,0.2131011608623549,0.06965174129353234,0.0538971807628524,6094.294616025809,15784.149923971452
25,06,001,421700,1400000US06001421700,06001421700,4217,CT,573822,0,"Census Tract 4217, Alameda County, California",3564,2390,18,641,351,6,1,421700,1760.0,86140.0,1563,700,863,3501,2681,319,137,120,244,1801,496,63,535,200,317,2018,06001421700,0.6705948372615039,0.005050505050505051,0.17985409652076315,0.09848484848484848,0.44785668586052463,0.5521433141394754,0.7657812053698944,0.09111682376463867,0.03913167666381034,0.03427592116538132,0.06969437303627535,0.2754025541365908,0.03498056635202665,0.2970571904497501,0.1110494169905608,0.17601332593003888,6210.985288120706,16086.377364409173
26,06,001,423200,1400000US06001423200,06001423200,4232,CT,456778,0,"Census Tract 4232, Alameda County, California",3004,896,634,181,949,6,1,423200,1321.0,46971.0,1112,273,839,2996,2374,463,83,47,29,1594,654,81,345,220,127,2018,06001423200,0.2982689747003995,0.211051930758988,0.06025299600532622,0.3159121171770972,0.24550359712230216,0.7544964028776978,0.7923898531375166,0.15453938584779706,0.027703604806408544,0.01568758344459279,0.009679572763684913,0.41028858218318703,0.05081555834378921,0.2164366373902133,0.13801756587202008,0.07967377666248432,6576.498868159149,17033.05315054578
27,06,001,442601,1400000US06001442601,06001442601,4426.01,CT,1181580,0,"Census Tract 4426.01, Alameda County, California",4175,1360,42,1661,889,6,1,442601,2206.0,147632.0,1306,934,372,4105,3870,109,95,17,14,1622,1149,181,147,0,10,2018,06001442601,0.325748502994012,0.010059880239520959,0.3978443113772455,0.21293413173652692,0.7151607963246555,0.2848392036753445,0.9427527405602923,0.026552984165651643,0.02314250913520097,0.004141291108404385,0.00341047503045067,0.7083847102342786,0.11159062885326756,0.0906288532675709,0.0,0.0061652281134401965,3533.4044245840314,9151.475058819546
28,06,001,443001,1400000US06001443001,06001443001,4430.01,CT,768730,0,"Census Tract 4430.01, Alameda County, California",3046,646,68,1172,1015,6,1,443001,2504.0,109147.0,839,580,259,3029,2905,60,18,12,34,1195,920,93,47,8,9,2018,06001443001,0.21208141825344715,0.02232435981615233,0.38476690741956665,0.3332239001969797,0.6912991656734208,0.30870083432657924,0.9590623968306372,0.019808517662594914,0.005942555298778475,0.0039617035325189825,0.011224826675470452,0.7698744769874477,0.07782426778242678,0.039330543933054386,0.006694560669456066,0.007531380753138075,3962.379509060398,10262.515379912322
29,06,001,443301,1400000US06001443301,06001443301,4433.01,CT,1577681,0,"Census Tract 4433.01, Alameda County, California",4343,1096,157,2643,232,6,1,443301,2569.0,163654.0,1272,1116,156,4343,4034,121,104,10,74,1817,1392,145,61,0,0,2018,06001443301,0.2523601197329035,0.03615012664057103,0.6085655077135621,0.05341929541791388,0.8773584905660378,0.12264150943396225,0.9288510246373476,0.02786092562744646,0.02394658070458209,0.002302555836979047,0.017038913193644947,0.7660979636763896,0.07980187121629059,0.033571821684094665,0.0,0.0,2752.7744835616327,7129.652879130826
30,06,001,444301,1400000US06001444301,06001444301,4443.01,CT,2576474,0,"Census Tract 4443.01, Alameda County, California",3789,1355,231,837,1119,6,1,444301,2424.0,117619.0,1140,818,322,3777,3396,64,305,0,12,1414,1154,111,51,13,17,2018,06001444301,0.35761414621272103,0.060965954077593025,0.2209026128266033,0.2953285827395091,0.7175438596491228,0.2824561403508772,0.8991262907069102,0.016944665078104316,0.08075191951284087,0.0,0.003177124702144559,0.8161244695898161,0.0785007072135785,0.03606789250353607,0.009193776520509194,0.012022630834512023,1470.6144909671123,3808.8738842309294
31,06,001,450501,1400000US06001450501,06001450501,4505.01,CT,1163206,0,"Census Tract 4505.01, Alameda County, California",3130,1970,83,672,215,6,1,450501,2356.0,132235.0,1227,887,340,3076,2568,215,274,19,0,1639,1208,85,237,0,0,2018,06001450501,0.6293929712460063,0.026517571884984027,0.2146964856230032,0.06869009584664537,0.7229013854930725,0.2770986145069275,0.8348504551365409,0.0698959687906372,0.08907672301690507,0.006176853055916775,0.0,0.7370347773032336,0.05186089078706528,0.14460036607687615,0.0,0.0,2690.8389399642024,6969.240564440004
