NAME,c_tenants,c_renters,c_rentcash,c_rent100,c_rent149,c_rent199,c_rent249,c_rent299,c_rent349,c_rent399,c_rent449,c_rent499,c_rent549,c_rent599,c_rent649,c_rent699,c_rent749,c_rent799,c_rent899,c_rent999,c_rent1249,c_rent1499,c_rent1999,c_rent2499,c_rent2999,c_rent3499,c_rent3500,med_rent,med_hhinc,year,state_fips,county_fips,tract_fips,FIPS_11_digit
"Census Tract 83.54, San Diego County, California",3200,1958,1958,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,139,21,217,1142,395,31,13,2264.0,110455.0,2018,06,073,008354,06073008354
"Census Tract 85.05, San Diego County, California",2116,788,764,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,43,53,303,226,86,32,0,0,1469.0,63625.0,2018,06,073,008505,06073008505
"Census Tract 176.04, San Diego County, California",3096,1646,1614,0,0,10,0,12,34,36,0,10,0,0,0,31,0,0,0,21,70,315,601,344,39,42,49,1723.0,71875.0,2018,06,073,017604,06073017604
"Census Tract 184, San Diego County, California",1589,1274,1255,30,0,9,21,37,10,10,8,0,0,10,0,0,30,32,49,59,220,283,286,86,10,65,0,1341.0,48004.0,2018,06,073,018400,06073018400
"Census Tract 5433.21, Los Angeles County, California",1820,260,240,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,50,96,0,42,32,10,0,1406.0,85465.0,2018,06,037,543321,06037543321
"Census Tract 5435.02, Los Angeles County, California",1390,613,550,0,0,0,0,0,0,0,0,0,0,12,25,0,27,0,31,39,88,128,112,81,7,0,0,1354.0,63582.0,2018,06,037,543502,06037543502
"Census Tract 5501, Los Angeles County, California",1886,344,307,0,0,0,0,0,0,0,30,0,63,0,0,31,0,0,10,0,19,50,53,9,42,0,0,1253.0,71133.0,2018,06,037,550100,06037550100
"Census Tract 5505, Los Angeles County, California",2318,762,762,0,0,0,0,0,0,0,0,0,41,0,0,0,0,0,0,33,77,182,193,170,66,0,0,1624.0,84315.0,2018,06,037,550500,06037550500
"Census Tract 5510, Los Angeles County, California",2208,670,656,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95,69,169,198,102,12,11,0,1493.0,86068.0,2018,06,037,551000,06037551000
"Census Tract 6031.02, Los Angeles County, California",1334,886,872,0,0,0,6,42,39,8,61,17,0,9,0,0,0,0,0,49,194,222,153,72,0,0,0,1262.0,55333.0,2018,06,037,603102,06037603102
"Census Tract 6033.01, Los Angeles County, California",1469,997,948,0,0,0,0,0,0,0,0,0,0,0,9,21,0,0,30,78,279,217,204,105,5,0,0,1316.0,48313.0,2018,06,037,603301,06037603301
"Census Tract 6033.02, Los Angeles County, California",1572,801,793,0,0,6,0,0,0,0,0,0,0,0,0,0,0,11,63,110,154,284,80,66,19,0,0,1296.0,48095.0,2018,06,037,603302,06037603302
"Census Tract 6037.02, Los Angeles County, California",1575,257,236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,26,58,63,40,41,0,0,1706.0,80688.0,2018,06,037,603702,06037603702
"Census Tract 6201.02, Los Angeles County, California",1530,1006,977,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,16,59,102,111,336,160,108,19,48,1772.0,84000.0,2018,06,037,620102,06037620102
"Census Tract 6205.21, Los Angeles County, California",1551,856,813,0,0,0,0,0,0,12,0,0,12,0,12,0,0,0,26,0,0,106,247,172,135,91,0,1983.0,125391.0,2018,06,037,620521,06037620521
"Census Tract 6206.02, Los Angeles County, California",1909,427,427,0,0,0,0,0,9,0,0,0,0,41,0,0,0,0,0,12,24,34,170,64,35,38,0,1775.0,126908.0,2018,06,037,620602,06037620602
"Census Tract 6507.01, Los Angeles County, California",961,172,162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,9,15,22,12,66,28,3098.0,108958.0,2018,06,037,650701,06037650701
"Census Tract 6513.02, Los Angeles County, California",2281,547,547,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,33,0,17,54,199,23,64,38,109,1901.0,117245.0,2018,06,037,651302,06037651302
"Census Tract 6700.02, Los Angeles County, California",1496,830,822,9,0,0,30,66,23,9,24,35,37,0,0,0,0,0,18,22,65,121,262,74,0,27,0,1401.0,80117.0,2018,06,037,670002,06037670002
"Census Tract 6702.02, Los Angeles County, California",883,55,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,11,7,13,3179.0,174205.0,2018,06,037,670202,06037670202
"Census Tract 8001.01, Los Angeles County, California",1949,204,196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,50,38,0,16,82,2750.0,138274.0,2018,06,037,800101,06037800101
"Census Tract 9201.11, Los Angeles County, California",934,116,116,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,9,0,0,57,33,0,0,2281.0,107500.0,2018,06,037,920111,06037920111
"Census Tract 5310, Los Angeles County, California",1327,821,814,0,0,0,0,0,21,6,19,20,0,16,6,46,38,40,61,22,219,162,109,29,0,0,0,1128.0,43586.0,2018,06,037,531000,06037531000
"Census Tract 5300.04, Los Angeles County, California",1160,523,505,11,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,7,122,169,150,35,0,0,0,1400.0,59938.0,2018,06,037,530004,06037530004
"Census Tract 5303.01, Los Angeles County, California",635,441,435,0,0,0,0,0,0,0,0,11,0,4,0,10,15,0,9,90,147,63,48,38,0,0,0,1134.0,42639.0,2018,06,037,530301,06037530301
"Census Tract 5309.01, Los Angeles County, California",911,622,614,0,0,0,0,0,0,0,0,10,10,0,21,27,19,12,71,57,162,104,68,39,14,0,0,1123.0,50687.0,2018,06,037,530901,06037530901
"Census Tract 5320.01, Los Angeles County, California",1033,745,738,0,0,0,0,56,0,25,0,13,0,0,6,0,7,23,215,93,147,56,53,44,0,0,0,926.0,32165.0,2018,06,037,532001,06037532001
"Census Tract 5325, Los Angeles County, California",1139,773,773,0,0,0,0,0,0,0,0,0,0,18,37,55,38,0,137,66,222,108,92,0,0,0,0,1040.0,48482.0,2018,06,037,532500,06037532500
"Census Tract 5334.03, Los Angeles County, California",740,482,476,0,0,0,0,22,0,0,15,0,8,0,10,22,6,10,76,80,123,51,37,7,0,0,9,986.0,46810.0,2018,06,037,533403,06037533403
