NAME,c_tenants,c_renters,c_rentcash,c_rent100,c_rent149,c_rent199,c_rent249,c_rent299,c_rent349,c_rent399,c_rent449,c_rent499,c_rent549,c_rent599,c_rent649,c_rent699,c_rent749,c_rent799,c_rent899,c_rent999,c_rent1249,c_rent1499,c_rent1999,c_rent2000,med_rent,med_hhinc,state_fips,county_fips,tract_fips,year,FIPS_11_digit
"Census Tract 133.02, San Diego County, California",1371,372,308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,70,55,1152700,1891.0,74279.0,06,073,013302,2018,06073013302
"Census Tract 136.04, San Diego County, California",2141,822,777,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,502,1837500,1870.0,84519.0,06,073,013604,2018,06073013604
"Census Tract 134.14, San Diego County, California",2239,451,451,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,57,206166110,2382.0,102762.0,06,073,013414,2018,06073013414
"Census Tract 134.16, San Diego County, California",1197,254,254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,162,502900,1852.0,91307.0,06,073,013416,2018,06073013416
"Census Tract 134.17, San Diego County, California",637,75,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,12,25190,2770.0,132865.0,06,073,013417,2018,06073013417
"Census Tract 141.02, San Diego County, California",1136,352,341,0,0,0,0,0,0,0,36,0,0,0,17,0,0,0,0,0,62,96,66,55900,1395.0,62165.0,06,073,014102,2018,06073014102
"Census Tract 146.01, San Diego County, California",1892,1403,1349,0,0,18,32,55,42,85,18,0,0,0,50,35,0,0,44,79,458,199,77,10043140,1118.0,42500.0,06,073,014601,2018,06073014601
"Census Tract 147, San Diego County, California",2922,1343,1295,0,0,0,0,0,0,0,0,0,42,0,0,13,0,0,11,84,166,359,415,1921300,1481.0,70871.0,06,073,014700,2018,06073014700
"Census Tract 154.04, San Diego County, California",2625,1416,1416,30,0,0,0,0,21,0,0,16,0,13,33,35,0,0,0,12,276,531,242,53141013,1378.0,56341.0,06,073,015404,2018,06073015404
"Census Tract 159.02, San Diego County, California",1718,1130,1130,0,0,0,30,10,0,6,0,0,0,0,0,0,21,0,121,108,354,220,111,11311250,1190.0,53286.0,06,073,015902,2018,06073015902
"Census Tract 162.02, San Diego County, California",1427,1308,1283,0,0,0,18,0,0,0,0,7,0,5,35,30,7,14,6,109,324,421,284,23000,1301.0,56477.0,06,073,016202,2018,06073016202
"Census Tract 166.09, San Diego County, California",1692,403,403,0,0,8,16,0,10,10,0,0,0,0,0,0,0,0,34,18,23,31,127,744705,1703.0,91384.0,06,073,016609,2018,06073016609
"Census Tract 170.06, San Diego County, California",1023,69,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,26,27010,2546.0,142546.0,06,073,017006,2018,06073017006
"Census Tract 170.29, San Diego County, California",3024,366,366,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,132384496,2481.0,172554.0,06,073,017029,2018,06073017029
"Census Tract 170.39, San Diego County, California",2803,1059,1020,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,6,0,0,202,208,-2147483648,2135.0,104926.0,06,073,017039,2018,06073017039
"Census Tract 170.40, San Diego County, California",1386,194,175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,27,546500,2292.0,128563.0,06,073,017040,2018,06073017040
"Census Tract 170.48, San Diego County, California",2117,1097,1006,0,0,0,0,79,17,0,0,13,0,0,49,0,0,0,47,78,166,263,233,54070,1301.0,62218.0,06,073,017048,2018,06073017048
"Census Tract 626.12, Orange County, California",2906,972,944,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,44,20,0,0,211,-2147483648,2400.0,120104.0,06,059,062612,2018,06059062612
"Census Tract 2014.02, Los Angeles County, California",1442,432,407,0,0,0,46,0,0,0,0,0,0,0,0,0,0,27,16,45,115,35,93,30000,1151.0,56698.0,06,037,201402,2018,06037201402
"Census Tract 1256, Los Angeles County, California",1188,579,560,0,0,0,0,0,0,0,0,0,0,0,8,25,11,7,0,7,74,182,143,429844,1453.0,81357.0,06,037,125600,2018,06037125600
"Census Tract 1234.10, Los Angeles County, California",1250,891,873,0,0,0,0,7,0,17,0,13,13,0,0,12,0,20,22,22,342,228,116,332800,1227.0,52500.0,06,037,123410,2018,06037123410
"Census Tract 1247, Los Angeles County, California",2383,1244,1158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,16,93,208,419,249501050,1791.0,90795.0,06,037,124700,2018,06037124700
"Census Tract 1253.20, Los Angeles County, California",2822,2682,2649,0,0,0,0,165,89,0,0,0,0,28,31,0,17,45,134,28,527,272,486,435348440,1489.0,34681.0,06,037,125320,2018,06037125320
"Census Tract 1282.10, Los Angeles County, California",1541,1463,1463,0,0,0,0,43,0,51,26,17,0,13,0,0,0,25,119,101,371,288,301,108000,1227.0,31223.0,06,037,128210,2018,06037128210
