APN_old,APN,address,project_name,jurisdiction_id,unit,tenure,date_submit,vli_dr,vli_ndr,li_dr,li_ndr,mi_dr,mi_ndr,ami,proposed,approved,disapproved,SB35,notes
,5404050,132 APOLLO ST,,2018-016468PRJ,ADU,R,2018-12-06,0,0,0,0,0,1,0,1,1,0,No,
,1177024,636 LYON ST,,2018-016168PRJ,2 to 4,O,2018-11-29,0,0,0,0,0,0,1,1,1,0,No,
,1576009,3214 BALBOA ST,,2018-008276PRJ,ADU,R,2018-12-11,0,0,0,0,0,1,0,1,1,0,No,
,1413030,250 21ST AV,,2018-016244PRJ,ADU,R,2018-12-03,0,0,0,0,0,1,0,1,1,0,No,
,6191048,407 WILDE AV,,2018-015479PRJ,ADU,R,2018-11-13,0,0,0,0,0,1,0,1,1,0,No,
,7121020,70 RALSTON ST,,2018-016045PRJ,ADU,R,2018-11-28,0,0,0,0,0,1,0,1,1,0,No,
,0157022,1606 JONES ST,,2018-016554PRJ,ADU,R,2018-12-06,0,0,0,0,0,1,0,1,1,0,No,
,3502078,50 ELGIN PK,,2018-016456PRJ,2 to 4,O,2018-11-27,0,0,0,0,0,0,1,1,1,0,No,
,4259056,1330 DE HARO ST,,2018-017176PRJ,2 to 4,O,2018-12-07,0,0,0,0,0,0,1,1,1,0,No,
,5721051,314 PARK ST,,2018-017184PRJ,2 to 4,O,2018-12-10,0,0,0,0,0,0,1,1,1,0,No,
,7040A015,315 MOUNT VERNON AV,,2018-012638PRJ,ADU,R,2018-11-19,0,0,0,0,0,1,0,1,1,0,No,
,3577047,60 DEARBORN ST,,2018-016126PRJ,ADU,R,2018-11-27,0,0,0,0,0,1,0,1,1,0,No,
,6522019,2888 HARRISON ST,,2018-016756PRJ,ADU,R,2018-06-28,0,0,0,0,0,1,0,1,1,0,No,
,1738040,1222 FUNSTON AV,,2018-015239PRJ,SFD,O,2018-12-11,0,0,0,0,0,0,1,1,1,0,No,
,7137014,238 SAGAMORE ST,,2018-015823PRJ,ADU,R,2018-11-05,0,0,0,0,0,1,0,1,1,0,No,
,6555019,4250 26TH ST,,2018-002508PRJ,SFD,O,2018-02-14,0,0,0,0,0,0,1,1,1,0,No,
,2004022,1789 45TH AV,,2016-004368PRJ,SFD,O,2018-12-12,0,0,0,0,0,0,1,1,1,0,No,
,7006010,447 RAMSELL ST,,2018-016610PRJ,ADU,R,2018-12-04,0,0,0,0,0,1,0,1,1,0,No,
,1720016,1277 30TH AV,,2018-016314PRJ,ADU,R,2018-12-04,0,0,0,0,0,1,0,1,1,0,No,
,3212020B,374 DELANO AV,,2018-016612PRJ,ADU,R,2018-12-11,0,0,0,0,0,1,0,1,1,0,No,
,3731093,151 RUSS ST,,2018-015460PRJ,ADU,R,2018-11-13,0,0,0,0,0,1,0,1,1,0,No,
,2045017,1895 08TH AV,,2018-012159PRJ,ADU,R,2018-08-23,0,0,0,0,0,1,0,1,1,0,No,
,1042009,51 IRIS AV,,2018-015270PRJ,ADU,R,2018-11-07,0,0,0,0,0,1,0,1,1,0,No,
,2197006B,1145 QUINTARA ST,,2018-015896PRJ,ADU,R,2018-11-21,0,0,0,0,0,1,0,1,1,0,No,
,1713009,1247 37TH AV,,2018-017229PRJ,ADU,R,2018-12-26,0,0,0,0,0,1,0,1,1,0,No,
,7159013,21 REGENT ST,,2018-014558PRJ,ADU,R,2018-11-21,0,0,0,0,0,1,0,1,1,0,No,
,6343013A,778 MADRID ST,,2018-016433PRJ,ADU,R,2018-12-06,0,0,0,0,0,1,0,1,1,0,No,
,1918027,1682 26TH AV,,2018-012999PRJ,ADU,R,2018-08-27,0,0,0,0,0,1,0,1,1,0,No,
,2936A028,68 ROCKWOOD CT,,2018-016050PRJ,ADU,R,2018-12-27,0,0,0,0,0,1,0,1,1,0,No,
,5297001,1701 LA SALLE AV,,2018-001828PRL,ADU,R,2018-02-02,0,0,0,0,0,1,0,1,1,0,No,
,5305042,1711 MCKINNON AV,,2018-009057PRL,2 to 4,O,2018-06-27,0,0,0,0,0,0,1,1,1,0,No,
,1622022,2130 CABRILLO ST,,2018-005496PRL,2 to 4,O,2018-04-11,0,0,0,0,0,0,1,1,1,0,No,
,0119007,1717 MASON ST,,2018-000610PRL,5+,R,2018-01-05,0,0,0,0,0,0,1,1,1,0,No,
,0076022,1932 POWELL ST,,2018-001654PRL,2 to 4,O,2018-01-16,0,0,0,0,0,0,1,1,1,0,No,
,6946057,2 GENEVA AV,,2018-002023PRL,5+,R,2018-01-31,0,0,0,0,0,0,1,1,1,0,No,
,1730037,1230 21ST AV,,2018-003079PRL,ADU,R,2018-03-02,0,0,0,0,0,1,0,1,1,0,No,
,1222011,1438 PAGE ST,,2018-005846PRL,5+,R,2018-01-23,0,0,0,0,0,0,1,1,1,0,No,
,0186013,1720 LARKIN ST,,2018-007759PRL,2 to 4,O,2018-05-29,0,0,0,0,0,0,1,1,1,0,No,
,4217025,1219 RHODE ISLAND ST,,2018-008834PRL,2 to 4,O,2018-06-21,0,0,0,0,0,0,1,1,1,0,No,
,4217025,1219 RHODE ISLAND ST,,2018-002936PRL,2 to 4,O,2018-02-27,0,0,0,0,0,0,1,1,1,0,No,
,1778022,1838 JUDAH ST,,2018-001860PRL,2 to 4,O,2018-02-01,0,0,0,0,0,0,1,1,1,0,No,
,2650010,74 EUREKA ST,,2018-002181PRL,2 to 4,O,2018-02-02,0,0,0,0,0,0,1,1,1,0,No,
,3620082,335 HILL ST,,2018-009658PRL,ADU,R,2018-07-12,0,0,0,0,0,1,0,1,1,0,No,
,6522023,3140 25TH ST,,2018-003997PRL,2 to 4,O,2018-03-21,0,0,0,0,0,0,1,1,1,0,No,
,1649001A,707 06TH AV,,2018-001430PRL,2 to 4,O,2018-01-25,0,0,0,0,0,0,1,1,1,0,No,
,6521029,2863 FOLSOM ST,,2018-004205PRL,2 to 4,O,2018-02-15,0,0,0,0,0,0,1,1,1,0,No,
,6521030,2857 FOLSOM ST,,2018-004210PRL,2 to 4,O,2018-02-15,0,0,0,0,0,0,1,1,1,0,No,
,1233016,1352 HAIGHT ST,,2018-007139PRL,2 to 4,O,2018-05-14,0,0,0,0,0,0,1,1,1,0,No,
,3548072,1376 NATOMA ST,,2018-011118PRL,2 to 4,O,2018-04-02,0,0,0,0,0,0,1,1,1,0,No,
,1431006,233 02ND AV,,2018-011706PRL,2 to 4,O,2018-08-23,0,0,0,0,0,0,1,1,1,0,No,
,0825040,900 OAK ST,,2018-013108PRL,ADU,R,2018-09-24,0,0,0,0,0,1,0,1,1,0,No,
,2805009,720 ELIZABETH ST,,2018-013126PRL,2 to 4,O,2018-09-25,0,0,0,0,0,0,1,1,1,0,No,
,3548071,1370 NATOMA ST,,2018-011119PRL,2 to 4,O,2018-04-02,0,0,0,0,0,0,1,1,1,0,No,
,2626005,32 ORD ST,,2018-012614PRL,2 to 4,O,2018-09-13,0,0,0,0,0,0,1,1,1,0,No,
,1798044,1326 44TH AV,,2018-012064PRL,2 to 4,O,2018-07-25,0,0,0,0,0,0,1,1,1,0,No,
,6516011A,381 BARTLETT ST,,2018-014596PRL,2 to 4,O,2018-10-25,0,0,0,0,0,0,1,1,1,0,No,
,1151009,1910 GOLDEN GATE AV,,2018-014973PRL,2 to 4,O,2018-11-01,0,0,0,0,0,0,1,1,1,0,No,
,5306008,1668 NEWCOMB AV,,2018-015470PRL,ADU,R,2018-11-07,0,0,0,0,0,1,0,1,1,0,No,
,1832023,1494 22ND AV,,2018-013329PRL,2 to 4,O,2018-08-24,0,0,0,0,0,0,1,1,1,0,No,
,2081005,1863 44TH AV,,2019-000229PRL,ADU,R,2018-12-17,0,0,0,0,0,1,0,1,1,0,No,
,1203013,1152 FELL ST,,2018-015824PRL,2 to 4,O,2018-11-20,0,0,0,0,0,0,1,1,1,0,No,
,1767023B,748 JUDAH ST,,2018-016443PRL,2 to 4,O,2018-11-19,0,0,0,0,0,0,1,1,1,0,No,
,3084008,842 MONTEREY BL,,2018-017069PRL,ADU,R,2018-12-18,0,0,0,0,0,1,0,1,1,0,No,
,1418037,240 16TH AV,,2018-017242PRL,2 to 4,O,2018-11-16,0,0,0,0,0,0,1,1,1,0,No,
,6527002,111 CYPRESS ST,,2018-017314PRL,5+,R,2018-09-13,0,0,0,0,0,0,1,1,1,0,No,
