APN_old,APN,address,project_name,jurisdiction_id,unit,tenure,vli_dr_entitle,vli_ndr_entitle,li_dr_entitle,li_ndr_entitle,mi_dr_entitle,mi_ndr_entitle,ami_entitle,date_entitle,units_entitle,vli_dr_permit,vli_ndr_permit,li_dr_permit,li_ndr_permit,mi_dr_permit,mi_ndr_permit,ami_permit,date_permit,units_permit,vli_dr_occcert,vli_ndr_occcert,li_dr_occcert,li_ndr_occcert,mi_dr_occcert,mi_ndr_occcert,ami_occcert,date_occcert,units_occcert,ELI_units,SB35,infill,asst_prog,dr_type,lcl_determ,dr_afford_term,demoed_units,demoed_type,demoed_tenure,notes
,030 190800300,3817 BROWN AVE,,RB1703943,ADU,R,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,1,2018-03-12 00:00:00,1,0,0,0,0,0,0,0,,0,,N,Y,,,,,,,,
,048D726902001,6120 CASTLE DR,,RB1704025,SFD,O,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,1,2018-07-27 00:00:00,1,0,0,0,0,0,0,0,,0,,N,Y,,,,,,,,
,048B714001603,5200 COCHRANE AVE,,RB1704027,SFD,O,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,1,2018-01-12 00:00:00,1,0,0,0,0,0,0,0,,0,,N,Y,,,,,,,,
,016 141401000,6447 COLBY ST,,RB1704056,ADU,R,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,1,2018-08-31 00:00:00,1,0,0,0,0,0,0,0,,0,,N,Y,,,,,,,,
,016 141401000,6449 COLBY ST,,RB1704109,ADU,R,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,1,2018-08-31 00:00:00,1,0,0,0,0,0,0,0,,0,,N,Y,,,,,,,,
,028 094702300,3246 DELAWARE ST,,RB1704110,2 to 4,R,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,3,2018-06-21 00:00:00,3,0,0,0,0,0,0,0,,0,,N,Y,,,,,,,,
,021 023901400,1812 13TH AVE,,RB1704154,ADU,R,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,1,2018-05-04 00:00:00,1,0,0,0,0,0,0,0,,0,,N,Y,,,,,,,,
,048A705902000,5750 IVANHOE RD,,RB1704446,ADU,R,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,1,2018-02-22 00:00:00,1,0,0,0,0,0,0,0,,0,,N,Y,,,,,,,,
,014 126905400,5866 CHABOT RD,,RB1704450,ADU,R,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,1,2018-01-17 00:00:00,1,0,0,0,0,0,0,0,,0,,N,Y,,,,,,,,
,006 000905001,1218 CAMPBELL ST,,RB1704508,ADU,R,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,1,2018-01-04 00:00:00,1,0,0,0,0,0,0,0,,0,,N,Y,,,,,,,,
,040 332701100,7423 DEERWOOD AVE,,RB1704561,ADU,R,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,1,2018-02-14 00:00:00,1,0,0,0,0,0,0,0,,0,,N,Y,,,,,,,,
,015 137001800,622 58TH ST,,RB1704569,ADU,R,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,1,2018-08-15 00:00:00,1,0,0,0,0,0,0,0,,0,,N,Y,,,,,,,,
,048H765400903,1305 ALVARADO RD,,RB1704663,ADU,R,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,1,2018-07-19 00:00:00,1,0,0,0,0,0,0,0,,0,,N,Y,,,,,,,,
,032 206801000,3612 BROOKDALE AVE,,RB1704703,SFA,O,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,1,2018-06-25 00:00:00,1,0,0,0,0,0,0,0,,0,,N,Y,,,,,,,,
,032 206801000,3616 BROOKDALE AVE,,RB1704704,SFA,O,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,1,2018-06-25 00:00:00,1,0,0,0,0,0,0,0,,0,,N,Y,,,,,,,,
,032 206801000,3614 BROOKDALE AVE,,RB1704707,SFA,O,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,1,2018-06-25 00:00:00,1,0,0,0,0,0,0,0,,0,,N,Y,,,,,,,,
,032 206801000,3618 BROOKDALE AVE,,RB1704708,SFA,O,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,1,2018-06-25 00:00:00,1,0,0,0,0,0,0,0,,0,,N,Y,,,,,,,,
,040A343701100,7859 STERLING DR,,RB1704712,ADU,R,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,1,2018-08-10 00:00:00,1,0,0,0,0,0,0,0,,0,,N,Y,,,,,,,,
,048H760601702,15 PERTH PL,,RB1704736,SFD,O,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,1,2018-02-22 00:00:00,1,0,0,0,0,0,0,0,,0,,N,Y,,,,,,,,
,014 119401000,874 52ND ST,,RB1704836,SFD,O,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,1,2018-02-22 00:00:00,1,0,0,0,0,0,0,0,,0,,N,Y,,,,,,,,
