APN_old,APN,address,project_name,jurisdiction_id,unit,tenure,date_submit,vli_dr,vli_ndr,li_dr,li_ndr,mi_dr,mi_ndr,ami,proposed,approved,disapproved,SB35,notes
,013 111102300,238 RIDGEWAY AVE,,PLN18238,SFD,O,2018-07-04 00:00:00,0,0,0,0,0,0,1,1,1,0,No,
,013 111200500,"233 MATHER ST, Oakland, CA 94611",,DRX180449,ADU,R,2018-07-19 09:18:16,0,0,0,0,0,0,1,1,1,0,No,
,013 116700900,"822 46TH ST, Oakland, CA 94608",,DRX180458,ADU,R,2018-11-01 11:17:27,0,0,0,0,0,0,1,1,1,0,No,
,013 116702300,"878 46TH ST, Oakland, CA 94608",,DRX180467,ADU,R,2018-02-27 11:06:41,0,0,0,0,0,0,1,1,1,0,No,
,014 119603500,"857 55TH ST, Oakland, CA 94608",,DRX180487,ADU,R,2018-01-26 10:37:50,0,0,0,0,0,0,1,1,1,0,No,
,014 119901200,"824 54TH ST, Oakland, CA 94608",,DRX180492,ADU,R,2018-07-05 08:51:36,0,0,0,0,0,0,1,1,1,0,No,
,014 120900200,"5519 DOVER ST, Oakland, CA 94609",,DRX180494,ADU,R,2018-02-26 12:18:00,0,0,0,0,0,0,1,1,1,0,No,
,014 122902300,"483 CLIFTON ST, Oakland, CA 94618",,DRX180508,ADU,R,2018-03-09 09:54:01,0,0,0,0,0,0,1,1,1,0,No,
,014 123100900,"5245 SHAFTER AVE, Oakland, CA 94618",,DRX180514,ADU,R,2018-01-26 16:01:26,0,0,0,0,0,0,1,1,1,0,No,
,014 123900600,"5251 DESMOND ST, Oakland, CA 94618",,DRX180533,ADU,R,2018-07-10 15:59:27,0,0,0,0,0,0,1,1,1,0,No,
,014 125001100,"5351 james AVE, OAKLAND, CA",,DRX180549,ADU,R,2018-12-19 17:03:59,0,0,0,0,0,0,1,1,1,0,No,
,014 125100100,"327 HUDSON ST, Oakland, CA 94618",,DRX180553,ADU,R,2018-08-03 16:14:54,0,0,0,0,0,0,1,1,1,0,No,
,014 125304101,"5374 SHAFTER AVE, Oakland, CA 94618",,DRX180564,ADU,R,2018-09-28 16:18:15,0,0,0,0,0,0,1,1,1,0,No,
,014 125805700,"5572 CLAREMONT AVE, Oakland, CA 94618",,DRX180566,ADU,R,2018-06-11 08:33:31,0,0,0,0,0,0,1,1,1,0,No,
,014 126206200,"5461 KALES AVE, Oakland, CA 94618",,DRX180572,ADU,R,2018-01-22 08:24:35,0,0,0,0,0,0,1,1,1,0,No,
